Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2),(16) Absolute Pressure(dyne/cm2),(17) Total Pressure(dyne/cm2),(18) Total Temperature(Celsius),(19) Mach Number()
1,0.122964,-2.47886,-3.92426,0,1551.2,2.56586,-51.1107,1548.42,149.698,0,0,0.00120473,0.0001817,0.0495573,1.65743,0.000568094,1.6589,0,0,1.01E+06,1.02E+06,0.137067,0.0468192
2,0.128733,-2.47878,-3.91143,0.0140663,1554.99,6.11858,-50.7446,1552.69,164.641,0,0,0.00120473,0.0001817,0.0505638,1.68266,-0.00051721,1.68403,0,0,1.01E+06,1.02E+06,0.13417,0.0469335
3,0.134503,-2.4787,-3.8986,0.0281327,1558.78,9.67134,-50.3785,1556.96,179.583,0,0,0.00120473,0.0001817,0.0515702,1.7079,-0.00160253,1.70915,0,0,1.01E+06,1.02E+06,0.131273,0.0470479
4,0.140272,-2.47862,-3.88578,0.042199,1562.56,13.2241,-50.0124,1561.23,194.526,0,0,0.00120473,0.0001817,0.0525767,1.73313,-0.00268784,1.73427,0,0,1.01E+06,1.02E+06,0.128376,0.0471622
5,0.146042,-2.47854,-3.87295,0.0562654,1565.26,16.5369,-49.2963,1564.37,209.173,0,0,0.00120473,0.0001817,0.0534378,1.75413,-0.00281713,1.75527,0,0,1.01E+06,1.01E+06,0.125619,0.0472437
6,0.151811,-2.47846,-3.86012,0.0703317,1548.34,17.6256,-45.0208,1547.55,220.872,0,0,0.00120473,0.0001817,0.0535062,1.73912,0.00269692,1.74109,0,0,1.01E+06,1.01E+06,0.122827,0.0467328
7,0.15758,-2.47838,-3.84729,0.084398,1535.13,18.8336,-41.0259,1534.44,232.153,0,0,0.00120473,0.0001817,0.0530842,1.72622,0.00896876,1.72905,0,0,1.01E+06,1.01E+06,0.120607,0.0463343
8,0.16335,-2.4783,-3.83446,0.0984644,1541.15,20.6571,-38.4777,1540.47,241.277,0,0,0.00120473,0.0001817,0.0501308,1.72421,0.0191512,1.72804,0,0,1.01E+06,1.01E+06,0.12134,0.0465159
9,0.169119,-2.47822,-3.82163,0.112531,1549.23,22.6583,-36.2078,1548.54,249.947,0,0,0.00120473,0.0001817,0.0474211,1.72167,0.0315165,1.72658,0,0,1.01E+06,1.01E+06,0.122674,0.0467597
10,0.174889,-2.47813,-3.80881,0.126597,1549.14,24.9648,-33.5907,1548.45,261.198,0,0,0.00120473,0.0001817,0.0427868,1.70174,0.044931,1.70736,0,0,1.01E+06,1.02E+06,0.123365,0.046757
11,0.180658,-2.47805,-3.79598,0.140663,1549.05,27.2713,-30.9735,1548.36,272.45,0,0,0.00120473,0.0001817,0.0381524,1.68181,0.0583456,1.68813,0,0,1.01E+06,1.02E+06,0.124057,0.0467543
12,0.186428,-2.47797,-3.78315,0.15473,1548.96,29.5778,-28.3564,1548.26,283.701,0,0,0.00120473,0.0001817,0.0335181,1.66189,0.0717601,1.6689,0,0,1.01E+06,1.02E+06,0.124749,0.0467515
13,0.192197,-2.47789,-3.77032,0.168796,1548.87,31.8843,-25.7392,1548.17,294.952,0,0,0.00120473,0.0001817,0.0288838,1.64196,0.0851746,1.64967,0,0,1.01E+06,1.02E+06,0.125441,0.0467488
14,0.197967,-2.47781,-3.75749,0.182862,1548.77,34.1909,-23.1221,1548.07,306.203,0,0,0.00120473,0.0001817,0.0242494,1.62203,0.0985892,1.63044,0,0,1.01E+06,1.02E+06,0.126132,0.046746
15,0.203736,-2.47773,-3.74466,0.196929,1548.68,36.4974,-20.5049,1547.98,317.454,0,0,0.00120473,0.0001817,0.0196151,1.6021,0.112004,1.61121,0,0,1.01E+06,1.02E+06,0.126824,0.0467433
16,0.209506,-2.47765,-3.73184,0.210995,1548.59,38.8039,-17.8879,1547.88,328.705,0,0,0.00120473,0.0001817,0.0149809,1.58218,0.125418,1.59198,0,0,1.01E+06,1.02E+06,0.127515,0.0467405
17,0.215275,-2.47757,-3.71901,0.225061,1548.5,41.1104,-15.2707,1547.79,339.956,0,0,0.00120473,0.0001817,0.0103465,1.56225,0.138833,1.57275,0,0,1.01E+06,1.02E+06,0.128207,0.0467378
18,0.221045,-2.47749,-3.70618,0.239128,1548.41,43.417,-12.6536,1547.69,351.208,0,0,0.00120473,0.0001817,0.0057122,1.54232,0.152247,1.55352,0,0,1.01E+06,1.02E+06,0.128899,0.046735
19,0.226814,-2.47741,-3.69335,0.253194,1547.37,45.0213,-8.55912,1546.42,361.661,0,0,0.00120473,0.0001817,-0.000539604,1.49604,0.151215,1.50878,0,0,1.01E+06,1.02E+06,0.131758,0.0467035
20,0.232583,-2.47732,-3.68052,0.26726,1537.56,46.19,-3.94775,1536.25,371.877,0,0,0.00120473,0.0001817,-0.00802654,1.43793,0.142249,1.45249,0,0,1.01E+06,1.02E+06,0.134875,0.0464077
21,0.238353,-2.47724,-3.66769,0.281327,1527.76,47.3587,0.663531,1526.09,382.094,0,0,0.00120473,0.0001817,-0.0155134,1.37982,0.133284,1.39619,0,0,1.01E+06,1.02E+06,0.137992,0.0461119
22,0.228306,-2.47773,-3.65631,0.296521,1513.39,48.0496,5.17718,1511.87,396.099,0,0,0.00120473,0.0001817,-0.0177126,1.38503,0.132244,1.40029,0,0,1.01E+06,1.02E+06,0.133127,0.045678
23,0.218259,-2.47822,-3.64492,0.311715,1499.01,48.7404,9.69087,1497.64,410.104,0,0,0.00120473,0.0001817,-0.019912,1.39024,0.131203,1.40439,0,0,1.01E+06,1.02E+06,0.128262,0.045244
24,0.208211,-2.47871,-3.63353,0.326909,1496.5,49.8578,9.8417,1495.04,430.431,0,0,0.00120473,0.0001817,-0.0238675,1.38694,0.132291,1.40046,0,0,1.01E+06,1.02E+06,0.124787,0.0451681
25,0.198164,-2.4792,-3.62214,0.342103,1455.27,49.2916,15.6667,1453.47,436.305,0,0,0.00120473,0.0001817,-0.027495,1.42332,0.129414,1.43612,0,0,1.01E+06,1.02E+06,0.117775,0.0439237
26,0.188117,-2.47968,-3.61076,0.357297,1414.04,48.7254,21.4919,1411.91,442.179,0,0,0.00120473,0.0001817,-0.0311222,1.4597,0.126539,1.47179,0,0,1.01E+06,1.02E+06,0.110763,0.0426793
27,0.17807,-2.48017,-3.59937,0.372491,1372.81,48.1591,27.3169,1370.35,448.053,0,0,0.00120473,0.0001817,-0.0347495,1.49609,0.123663,1.50746,0,0,1.01E+06,1.01E+06,0.103751,0.0414349
28,0.168023,-2.48066,-3.58798,0.387685,1331.58,47.5929,33.1421,1328.79,453.926,0,0,0.00120473,0.0001817,-0.0383768,1.53247,0.120787,1.54313,0,0,1.01E+06,1.01E+06,0.0967387,0.0401905
29,0.157976,-2.48115,-3.57659,0.402879,1306.84,47.0561,39.8706,1304.01,463.785,0,0,0.00120473,0.0001817,-0.0426454,1.52288,0.119139,1.53327,0,0,1.01E+06,1.01E+06,0.0935331,0.0394437
30,0.147929,-2.48164,-3.56521,0.418073,1291.93,46.5369,47.1383,1289.24,476.02,0,0,0.00120473,0.0001817,-0.0472966,1.48587,0.118223,1.49625,0,0,1.01E+06,1.01E+06,0.0925987,0.0389939
31,0.137881,-2.48212,-3.55382,0.433267,1277.03,46.0177,54.406,1274.47,488.256,0,0,0.00120473,0.0001817,-0.0519477,1.44886,0.117308,1.45923,0,0,1.01E+06,1.01E+06,0.0916644,0.038544
32,0.127834,-2.48261,-3.54243,0.448461,1257.19,45.3193,60.0605,1254.66,502.513,0,0,0.00120473,0.0001817,-0.0578503,1.40541,0.11234,1.41589,0,0,1.01E+06,1.01E+06,0.0907155,0.0379452
33,0.117787,-2.4831,-3.53104,0.463655,1242.28,43.4893,64.9444,1239.62,515.449,0,0,0.00120473,0.0001817,-0.0618977,1.38008,0.103105,1.39074,0,0,1.01E+06,1.01E+06,0.0897402,0.0374951
34,0.10774,-2.48359,-3.51966,0.478849,1224.84,38.8149,62.7644,1222.26,542.738,0,0,0.00120473,0.0001817,-0.0599447,1.36284,0.0883871,1.3733,0,0,1.01E+06,1.01E+06,0.0891683,0.0369687
35,0.0976929,-2.48408,-3.50827,0.494043,1207.4,34.1404,60.5846,1204.9,570.028,0,0,0.00120473,0.0001817,-0.0579916,1.3456,0.0736694,1.35587,0,0,1.01E+06,1.01E+06,0.0885968,0.0364424
36,0.0876458,-2.48457,-3.49688,0.509237,1198.09,30.1783,62.0523,1195.46,587.276,0,0,0.00120473,0.0001817,-0.0555763,1.31438,0.0584356,1.32384,0,0,1.01E+06,1.01E+06,0.0888225,0.0361614
37,0.0775986,-2.48505,-3.48549,0.524431,1196.07,26.8545,66.7896,1193.12,595.524,0,0,0.00120473,0.0001817,-0.0527467,1.27064,0.0427398,1.27873,0,0,1.01E+06,1.01E+06,0.0897634,0.0361005
38,0.0675515,-2.48554,-3.47411,0.539625,1194.05,23.5307,71.5268,1190.77,603.773,0,0,0.00120473,0.0001817,-0.0499171,1.22689,0.0270438,1.23362,0,0,1.01E+06,1.01E+06,0.0907041,0.0360395
39,0.0575044,-2.48603,-3.46272,0.554819,1193.53,22.3018,80.9828,1183.09,622.436,0,0,0.00120473,0.0001817,-0.0488409,1.29004,0.0182156,1.29635,0,0,1.01E+06,1.01E+06,0.0903851,0.0360238
40,0.0474572,-2.48652,-3.45133,0.570013,1192.3,21.5258,102.81,1172.05,647.275,0,0,0.00120473,0.0001817,-0.0455441,1.51234,0.0152543,1.51854,0,0,1.01E+06,1.01E+06,0.0874811,0.0359867
41,0.0374101,-2.48701,-3.43994,0.585207,1188.64,19.1653,136.479,1162.45,668.916,0,0,0.00120473,0.0001817,-0.0372606,1.83459,0.0130412,1.84006,0,0,1.01E+06,1.01E+06,0.0824167,0.0358762
42,0.0255211,-2.48742,-3.4425,0.597374,1180.22,13.7881,117.294,1156.69,659.126,0,0,0.00120473,0.0001817,-0.039428,1.60292,-0.0167348,1.60696,0,0,1.01E+06,1.01E+06,0.0848179,0.035622
43,0.013632,-2.48783,-3.44506,0.609542,1166.94,10.673,104.572,1148.37,657.011,0,0,0.00120473,0.0001817,-0.0319491,1.47079,-0.0199102,1.47358,0,0,1.01E+06,1.01E+06,0.0848016,0.0352212
44,0.00174304,-2.48824,-3.44761,0.621709,1151.54,9.08833,95.0572,1137.83,659.911,0,0,0.00120473,0.0001817,-0.0205048,1.40221,-0.00692354,1.40416,0,0,1.01E+06,1.01E+06,0.0833735,0.0347564
45,-0.010146,-2.48866,-3.45017,0.633877,1137.93,7.54806,87.323,1128.28,660.249,0,0,0.00120473,0.0001817,-0.0108653,1.34702,0.00509919,1.34825,0,0,1.01E+06,1.01E+06,0.0817022,0.0343456
46,-0.022035,-2.48907,-3.45272,0.646045,1126.74,5.88849,81.5584,1120.13,658.599,0,0,0.00120473,0.0001817,-0.00331114,1.30783,0.0148422,1.30853,0,0,1.01E+06,1.01E+06,0.0799197,0.034008
47,-0.033924,-2.48948,-3.45528,0.658212,1126.58,1.44208,79.9512,1119.7,665.721,0,0,0.00120473,0.0001817,-0.00072798,1.31996,0.0022602,1.32149,0,0,1.01E+06,1.01E+06,0.0801885,0.034003
48,-0.045813,-2.4899,-3.45784,0.67038,1126.39,-2.94946,78.311,1119.26,672.637,0,0,0.00120473,0.0001817,0.00156686,1.33176,-0.0103902,1.33412,0,0,1.01E+06,1.01E+06,0.0804424,0.0339973
49,-0.057702,-2.49031,-3.46039,0.682548,1126.18,-7.28652,76.639,1118.82,679.349,0,0,0.00120473,0.0001817,0.00357517,1.34325,-0.023109,1.34643,0,0,1.01E+06,1.01E+06,0.0806818,0.033991
50,-0.069591,-2.49072,-3.46295,0.694715,1125.95,-11.5694,74.935,1118.38,685.858,0,0,0.00120473,0.0001817,0.00529852,1.35443,-0.0358957,1.35841,0,0,1.01E+06,1.01E+06,0.0809068,0.0339842
51,-0.0814801,-2.49113,-3.4655,0.706883,1125.71,-15.7985,73.2001,1117.93,692.165,0,0,0.00120473,0.0001817,0.0067385,1.3653,-0.0487503,1.37008,0,0,1.01E+06,1.01E+06,0.0811174,0.0339768
52,-0.0933691,-2.49155,-3.46806,0.719051,1125.45,-19.9742,71.4339,1117.48,698.27,0,0,0.00120473,0.0001817,0.00789687,1.37587,-0.0616719,1.38144,0,0,1.01E+06,1.01E+06,0.0813136,0.0339689
53,-0.105258,-2.49196,-3.47062,0.731218,1125.16,-24.0966,69.6371,1117.03,704.175,0,0,0.00120473,0.0001817,0.0087752,1.38614,-0.0746605,1.39248,0,0,1.01E+06,1.01E+06,0.0814956,0.0339604
54,-0.117147,-2.49237,-3.47317,0.743386,1138.52,-28.5708,70.1422,1125.49,696.223,0,0,0.00120473,0.0001817,0.0137416,1.39328,-0.0856999,1.40172,0,0,1.01E+06,1.01E+06,0.083491,0.0343635
55,-0.129036,-2.49278,-3.47573,0.755554,1162.07,-33.5941,72.5884,1140.05,678.284,0,0,0.00120473,0.0001817,0.0217372,1.40283,-0.0960599,1.41458,0,0,1.01E+06,1.01E+06,0.0864781,0.0350741
56,-0.140925,-2.4932,-3.47828,0.767721,1188.13,-39.0028,75.7179,1155.56,658.119,0,0,0.00120473,0.0001817,0.0303208,1.41744,-0.107033,1.43299,0,0,1.01E+06,1.01E+06,0.0893544,0.035861
57,-0.152814,-2.49361,-3.48084,0.779889,1210.49,-43.4223,80.5889,1167.17,639.576,0,0,0.00120473,0.0001817,0.0379794,1.46135,-0.114323,1.48158,0,0,1.01E+06,1.01E+06,0.0910975,0.0365357
58,-0.164703,-2.49402,-3.4834,0.792057,1195.71,-39.0129,93.5974,1151.52,641.183,0,0,0.00120473,0.0001817,0.0367316,1.65331,-0.0931569,1.68124,0,0,1.01E+06,1.01E+06,0.0867824,0.0360895
